id;tipo_deco;tecnologia;multicast
1;local;FTTH;Shirt
2;West Virginia PCI Syrian Pound;HFC;implementation
3;indexing Associate reboot;FTTH;copying AGP
4;Reverse-engineered Open-architected SMTP;FTTH;copying
5;instruction set Paradigm SAS;FTTH;Right-sized Small Frozen Chips Palestinian Territory
6;optical;COBRE;Timor-Leste deposit online
7;Personal Loan Account Arkansas Handcrafted Granite Chicken;COBRE;Associate
8;auxiliary override;COBRE;RSS Awesome Rubber Hat Rue
9;collaborative frame;COBRE;navigating navigating
10;Object-based Generic Wooden Ball;COBRE;repurpose
